log.prior	log.likelihood	log.likelihood.test.set
-7.209754601654306043e+02 -6.068575549660588422e+02 -1.864643396956063270e+01
-7.149512286719132135e+02 -6.093794073576243591e+02 -1.855460637994701756e+01
-7.188132589912368076e+02 -6.045690623901796243e+02 -1.854541609406567204e+01
-7.266706868722878880e+02 -6.045474244976637692e+02 -1.868172958683925344e+01
-7.247655381366910206e+02 -6.042295813418110129e+02 -1.633211525610181525e+01
-7.277661183245430720e+02 -6.045653069055506421e+02 -1.679877312113177368e+01
-7.361188995892604225e+02 -6.035654797511514289e+02 -1.790591687124799591e+01
-7.448174892140939392e+02 -6.017437597759344499e+02 -1.832131410577369479e+01
-7.426971453395761955e+02 -6.085829366338318778e+02 -1.695762547731845871e+01
-7.386406828871186008e+02 -6.046318461213255659e+02 -1.805832668224292092e+01
-7.347963102206228996e+02 -5.996231992244696585e+02 -1.801120669625504433e+01
-7.243709346806646181e+02 -6.023315069822876922e+02 -1.855583084789765280e+01
-7.255228047320944142e+02 -5.999476803238043203e+02 -1.812185260959671496e+01
-7.159084512784661456e+02 -6.034098252117903485e+02 -1.861440189793904665e+01
-7.189134257059121182e+02 -5.982803824817078748e+02 -1.830644742339649156e+01
-7.244341538769519957e+02 -5.992662965051656556e+02 -1.877871997837047502e+01
-7.316599761179206780e+02 -5.960090529753338160e+02 -1.850688680846445777e+01
-7.400880890659178704e+02 -5.976144993266125311e+02 -1.818749881736744101e+01
-7.429724749751375157e+02 -6.004581756044094618e+02 -1.906725736871169374e+01
-7.305663102571483023e+02 -5.995638228888490175e+02 -1.890496186819865443e+01
-7.236213735187646989e+02 -5.989792627981170199e+02 -1.851717424648444421e+01
-7.216490809085886440e+02 -6.003394984777286254e+02 -1.814741254947844595e+01
-7.286874306044413743e+02 -5.955864899437278837e+02 -1.846684885274180488e+01
-7.294040904660753313e+02 -5.974836584356112326e+02 -1.825978797534156683e+01
-7.340557085552454737e+02 -6.010307502807361288e+02 -1.875951829228574752e+01
-7.292104149012639027e+02 -6.004770016371898009e+02 -1.828402244092330875e+01
-7.300678261123549646e+02 -5.992007686571203067e+02 -1.824721630200298250e+01
-7.240599243944767522e+02 -6.019484950226776618e+02 -1.832532216870055208e+01
-7.282277310005591744e+02 -5.984890147057567447e+02 -1.894862201603973517e+01
-7.293017292795394724e+02 -6.020311902944060876e+02 -1.845126491257235557e+01
-7.355841673028778587e+02 -5.994800551806821431e+02 -1.860008837685307981e+01
-7.289362637489651888e+02 -6.053241682520833820e+02 -1.864930055100114714e+01
-7.335359962662208773e+02 -6.051935812717126737e+02 -1.899803930391976792e+01
-7.341267265228150336e+02 -6.141421384684160785e+02 -1.951211316549802177e+01
-7.308222782341342736e+02 -6.103764681612485674e+02 -1.918718217366870249e+01
-7.372507177291161042e+02 -6.052411512001995106e+02 -1.887237509457565920e+01
-7.400700834096633116e+02 -6.051558841285158223e+02 -1.851645236567981101e+01
-7.423511848321435309e+02 -6.017741339988651816e+02 -1.872384767551938012e+01
-7.346153866912395642e+02 -6.054413295410283808e+02 -1.846471813705900900e+01
-7.292305936811983429e+02 -5.990980397871104515e+02 -1.836295664099654346e+01
-7.367606565568877386e+02 -5.966308724968612296e+02 -1.871405371060609468e+01
-7.390267796032271690e+02 -6.016653844021900568e+02 -1.859171471869717607e+01
-7.314563541312830921e+02 -6.015135231445029831e+02 -1.902317630353786626e+01
-7.384807244521928169e+02 -6.028885683653422802e+02 -1.864482364613769505e+01
-7.281075292129929721e+02 -6.029513021902129140e+02 -1.874785140022999030e+01
-7.337813601798864056e+02 -6.033800788381220173e+02 -1.899187375362225794e+01
-7.344807383108341128e+02 -5.990740157966147308e+02 -1.855102398919331108e+01
-7.400697817320412923e+02 -5.999801485645302819e+02 -1.830407229012223524e+01
-7.363008519238780991e+02 -6.040756889338279052e+02 -1.839697606024640208e+01
-7.346723398137560253e+02 -6.072571555929368969e+02 -1.865626123955314597e+01
-7.323583743961272603e+02 -6.078884379488538343e+02 -1.895691853566745522e+01
-7.321626300014519302e+02 -6.043575017170896899e+02 -1.800936680498324449e+01
-7.111012454015774438e+02 -6.070579163694443423e+02 -1.769110624006020771e+01
-7.014804344639899227e+02 -6.062951122139131712e+02 -1.832261075079469492e+01
-7.120466972637143499e+02 -5.991932778334896739e+02 -1.788584539139287699e+01
-7.167426160213175308e+02 -5.999742512988254930e+02 -1.781227318306548568e+01
-7.144089101560339259e+02 -6.026296152635489989e+02 -1.667842659469249611e+01
