influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 9.451631675545698386e+00 9.980580451225936400e+00 5.062450661298765198e+00 0.000000000000000000e+00 2.039246501333194792e-09 9.337797396452396370e+00 7.941063415808518933e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.341802723690825871e+00 9.872156235237335764e+00 8.284527777593332587e+00 0.000000000000000000e+00 1.777999992156484278e-08 9.357892184991365880e+00 9.003415471967649353e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.013522405449865715e+00 8.656338851696363079e+00 9.970507752566001969e+00 0.000000000000000000e+00 1.227443886208039848e-08 9.747225514046204964e+00 7.559693104224455062e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.476678023535832551e+00 9.693354965821969316e+00 4.861388340922698781e+00 0.000000000000000000e+00 9.536123674433362545e-09 9.514796377908224301e+00 8.558845262570175194e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.840217000234387612e+00 9.624488690805634405e+00 4.965703388701124155e+00 0.000000000000000000e+00 2.548019458073252469e-09 9.887166874157621521e+00 9.396632094378798428e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.659359547119143130e+00 9.527244858569659414e+00 7.115802978567326242e+00 0.000000000000000000e+00 2.607370331563561904e-09 9.866818308855677344e+00 7.466289785646472055e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.754538814490764764e+00 9.798111776103308301e+00 2.637686407640348563e+00 0.000000000000000000e+00 1.816071720107504865e-09 9.913133827688634270e+00 9.773534223738018056e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.019932950476604816e+00 9.089309655649483233e+00 4.568664611736390491e+00 0.000000000000000000e+00 1.400084461769663009e-08 9.595762828428417990e+00 8.913478215906835089e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.339749064818555269e+00 8.580019600190173179e+00 6.171338643354356890e+00 0.000000000000000000e+00 2.669771119774483020e-08 9.923807013513838982e+00 8.778079394901808996e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.775974348914452605e+00 9.175549057158029598e+00 8.152834616294629910e+00 0.000000000000000000e+00 3.741494255193482201e-09 9.587095202960512097e+00 8.795658683092277386e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.980148064459495316e+00 8.790807369807380311e+00 8.863701665802915741e+00 0.000000000000000000e+00 2.429328710031790379e-09 9.686597775021274614e+00 8.119257957774349777e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.906099154595674250e+00 8.968346655884918306e+00 9.635734831826356483e+00 0.000000000000000000e+00 5.419229435534465564e-09 8.991685918088688112e+00 7.274598350662831336e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.886200015341845670e+00 9.541866129239787497e+00 7.949991709595694900e+00 0.000000000000000000e+00 3.461972470372949093e-08 8.500952649716996490e+00 8.103544670466803268e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.820004214899164197e+00 9.680758790772413747e+00 8.123692136717791001e+00 0.000000000000000000e+00 1.572635065553123907e-08 8.833102315081204026e+00 8.135318432882595374e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.889007218253160758e+00 9.397441395594794855e+00 9.433382547605287272e+00 0.000000000000000000e+00 1.163289588435238374e-07 9.092338045097744015e+00 8.245149635972909508e+00 0.000000000000000000e+00
