word.concentration.1	word.concentration.2	word.concentration.3	
5.818622838530898456e+00 8.628720580279431118e+00 2.836362952086445066e+00
5.225455326429616854e+00 6.546820036776845875e+00 8.186212469901564148e+00
4.029388466810794434e+00 7.127192220610560014e+00 3.876815977534724844e+00
3.340515632787558253e+00 8.354894341844289585e+00 4.558272513459574959e+00
3.780142456019933928e+00 7.634264735202431318e+00 6.550007647269774580e+00
3.905084803472935295e+00 6.235304338137044766e+00 6.945317339921949440e+00
4.005563217546950661e+00 9.346865446948628531e+00 7.618943601578219926e+00
3.083535597041735965e+00 9.393979618509368024e+00 6.632165203828980893e+00
3.858762772567779997e+00 8.022395019673798089e+00 6.866819673912957889e+00
3.931811431863730721e+00 6.360095263747320260e+00 6.668659771415212489e+00
3.238398673196933419e+00 7.460139872212581125e+00 8.625998290806480284e+00
3.001343811943990136e+00 8.959350412839453881e+00 6.763890615664181816e+00
3.841952113795694679e+00 5.669681960914974894e+00 7.514757215476114638e+00
4.213082208559702835e+00 4.112466552076249116e+00 4.426546704999847925e+00
3.838631831310869824e+00 5.359747782487857215e+00 8.326945350224782771e+00
2.939697432993935600e+00 7.837328371606052002e+00 3.064790715237881713e+00
4.127453119469967291e+00 5.851488167793470474e+00 4.318158463912840084e+00
3.679230260484172454e+00 9.871985115406426203e+00 6.154872508700932165e+00
4.994555620749924429e+00 5.848615895719239788e+00 4.390071205257374487e+00
2.417544330962529742e+00 8.048705830680205509e+00 6.625158869769838255e+00
4.651223897067946034e+00 6.248392706487803316e+00 7.193132372381863426e+00
4.011621150800236180e+00 8.609890428175104304e+00 2.658792983470351867e+00
3.697952549096803931e+00 5.286262844525567495e+00 5.954235680204232217e+00
2.838217316917964084e+00 5.453737908286376168e+00 3.987981666025304683e+00
4.922549348585132378e+00 9.663187185937585966e+00 4.012932792759825951e+00
4.885367106559179717e+00 8.184208661572611732e+00 5.478700037113081400e+00
4.346450720974560866e+00 6.605335980312507793e+00 4.072922054735772512e+00
4.179089195434510629e+00 8.139518489556737180e+00 5.073719597799850156e+00
3.565926223783328464e+00 9.689802237172703059e+00 4.127831978601909313e+00
4.082032387699408460e+00 6.347070004237281182e+00 6.046305129603439354e+00
2.910702464980980508e+00 8.481497666790950518e+00 3.258517098980383775e+00
4.070711512083516226e+00 7.832467982345768576e+00 8.064131722795819357e+00
3.136057359984832260e+00 7.052886117582676029e+00 8.622390707584091984e+00
3.641771226943741890e+00 9.225830537194285697e+00 4.512666317110399561e+00
3.132098795883742515e+00 5.494825067315638911e+00 8.265355249940215643e+00
4.008053612373895014e+00 6.651602060990253307e+00 5.285089573757270287e+00
3.078729680324846285e+00 7.769061675917687815e+00 6.071885837485470283e+00
3.714340122743805761e+00 6.181711028713679390e+00 5.629199455906690908e+00
3.628133221117386675e+00 7.880810177512890924e+00 5.481918222833757959e+00
4.382982039538194208e+00 9.393767170298687574e+00 3.248468235716990726e+00
4.031475335455821707e+00 9.349434641729919448e+00 4.928108627027379285e+00
3.120048775366304650e+00 7.666362520851583540e+00 5.335139797007376394e+00
3.126338500018031930e+00 7.448081171886379970e+00 6.153012711279492564e+00
5.048907535147594494e+00 6.377247821536276007e+00 3.523338433967718508e+00
1.967008861118465957e+00 3.166836504573628197e+00 2.645681880831054489e+00
5.774503499055593458e+00 8.776190155411946137e+00 3.828458626586852986e+00
5.916642824011042912e+00 4.809427787455599734e+00 3.537063163527327969e+00
2.242515055151088177e+00 9.852700350869023183e+00 4.104378504236640524e+00
4.049083915949517554e+00 8.383271915241129690e+00 4.717535376802211466e+00
4.432074262888946237e+00 9.423356102099289089e+00 7.193800944563567334e+00
4.993285373766519264e+00 7.160104308204190637e+00 5.378544654473947695e+00
3.335320735131755754e+00 8.879953811096228833e+00 4.221558724112853156e+00
3.067532957271135174e+00 8.891650652325964188e+00 2.674090776811123948e+00
2.187471167600004929e+00 7.349837530038104028e+00 3.802847056664855785e+00
2.683329660488024349e+00 8.259310744337007293e+00 4.522819909401479599e+00
4.590079978947835926e+00 8.542514531241476305e+00 5.326171375560383225e+00
3.972222299699310621e+00 5.447329423883774169e+00 3.817847584037246556e+00
4.171673794169461047e+00 4.201030085678670645e+00 6.283183742248564130e+00
3.010627886150438748e+00 6.097224643625011709e+00 5.725246872237358176e+00
3.859139505379477253e+00 8.692764564119473292e+00 5.810592638906726393e+00
2.426470387352329006e+00 8.088017569301372944e+00 3.863491048858707089e+00
5.735498996829653251e+00 7.995468473564304901e+00 6.213932519828035517e+00
5.715502814143248678e+00 6.222535066750500832e+00 5.049685042587501727e+00
5.998261928274836841e+00 8.077648977230561300e+00 5.535342629121761782e+00
5.534086841395029488e+00 7.738740870338972400e+00 2.659937226517116393e+00
2.677928571231160237e+00 6.971127456198283667e+00 5.055228064903991125e+00
4.199989389642665216e+00 7.388027497327118276e+00 3.293861623727526666e+00
4.406610844547003580e+00 9.657462235138725148e+00 3.399775940771161409e+00
3.946597327699772784e+00 6.836495214609632498e+00 3.146923052479031035e+00
3.206044240762699893e+00 4.624165484194692866e+00 3.044390718360119319e+00
3.147972988838788844e+00 4.468799805720975904e+00 4.034024170186458313e+00
3.416857892634105553e+00 9.783236828332091406e+00 8.312132664103776492e+00
2.467043639886198569e+00 8.401526296924787474e+00 7.003686530266297616e+00
3.313253967371604602e+00 5.288521478246756224e+00 3.329678232571050334e+00
2.949097696151140369e+00 9.319932228582620937e+00 5.665252957217782104e+00
3.954065972081008518e+00 4.372837537454636880e+00 3.844476490655655887e+00
4.069822058337108750e+00 7.786972741407034881e+00 5.006304490315643285e+00
3.223928182130714859e+00 5.955995317348626195e+00 6.055183029389876737e+00
3.166601719255624836e+00 6.458249953325912784e+00 4.885162164777658411e+00
4.347407057684413267e+00 8.711680292463320541e+00 5.160256190624743056e+00
3.267801103278899166e+00 6.992821081253373094e+00 4.233356507170489280e+00
3.843907771091346071e+00 7.018202720523827765e+00 6.170860779427324694e+00
3.767380100961962519e+00 7.039810308673488670e+00 6.171469874298437297e+00
3.207014423792739155e+00 8.281875189528955516e+00 3.427937544427809957e+00
3.722560360968134585e+00 8.932339002665731442e+00 3.817826831656534470e+00
3.720010880900344930e+00 9.015440710900442411e+00 6.208000068787399073e+00
3.287083671857478073e+00 7.135370903861423031e+00 5.159143270404546122e+00
2.080030390747505731e+00 6.454185961783937664e+00 4.755947094928419716e+00
2.555534004527266756e+00 8.107979604287272934e+00 3.976285777033534252e+00
4.781665500341349073e+00 7.309046056124831381e+00 4.326743311187857266e+00
5.174349982684092630e+00 9.457525941233551947e+00 4.876471763057699249e+00
4.043206055248251829e+00 6.117574463604162460e+00 5.296693030812781977e+00
4.680912740819227480e+00 8.531057800068635899e+00 3.536785008971171873e+00
4.700947788605184030e+00 8.249592530545154290e+00 7.504754616681439394e+00
4.002684248988267690e+00 8.654647405620984557e+00 7.079353866808117957e+00
3.653847349249706333e+00 9.063342713507751114e+00 7.473855490560437076e+00
3.392799057898097104e+00 7.172970657505311820e+00 2.835482939641607913e+00
3.428799433286495280e+00 7.170942739069507965e+00 3.680402697053841710e+00
4.173503002424821418e+00 9.272316064358321341e+00 3.218265317902059497e+00
4.324778206219693111e+00 9.197628958171957692e+00 4.131020472403231558e+00
5.269552449406009309e+00 6.457108906282118532e+00 3.848085649125758234e+00
3.439060786274907855e+00 7.647029864568652968e+00 5.669370675867297926e+00
3.265049029561349236e+00 8.892750626150355941e+00 4.049316016061159651e+00
3.639981066245975505e+00 4.915396880568546401e+00 5.680431239900898710e+00
4.981513773708306836e+00 9.444688393785199310e+00 6.176658823492243044e+00
5.969166195428135424e+00 6.904464081222563721e+00 5.035885292402372038e+00
6.166610648509595727e+00 9.209209531546409977e+00 8.026250255251772714e+00
