time.decay.1	time.decay.2	time.decay.3	
1.053318986998719140e+02 9.320730795154443626e+01 9.778143014604469840e+01
1.052692293587807910e+02 9.798021168896414679e+01 9.626755030676496006e+01
9.892746714895372406e+01 1.246931090565880282e+02 1.013115381317730339e+02
1.069977006250187230e+02 1.271237353256232723e+02 1.083103365388148092e+02
1.072889398460308854e+02 1.248086065351364482e+02 1.035459625203105247e+02
9.984018901284412095e+01 1.149550307568131586e+02 1.185610105526084652e+02
1.036452656118120785e+02 1.098274187189628890e+02 1.291176974319615169e+02
1.046787482389792103e+02 1.039536406010695231e+02 1.330267589273454121e+02
9.420974999537300221e+01 1.049801037258375942e+02 1.042662377958370143e+02
9.658932384688529282e+01 1.143163256323732071e+02 1.040928217005558594e+02
9.396982281858061015e+01 1.083244972796011041e+02 1.131076014376527326e+02
9.251424547227590267e+01 9.002636386037383431e+01 9.030643111786929467e+01
9.549441904961541638e+01 1.109960859949207759e+02 1.001331138908765865e+02
9.592677712897076958e+01 1.001076524981335183e+02 1.135213833236578580e+02
1.040371844435112507e+02 1.043720029462185863e+02 1.132716913372662475e+02
9.614893041476487667e+01 9.389809591335863104e+01 9.698651219041728666e+01
1.051452057476538471e+02 1.101683639196461399e+02 1.035949746684582919e+02
9.038413536027466932e+01 1.021849522530075944e+02 8.411954830248045312e+01
1.090640498847674138e+02 9.754005525476038940e+01 8.949531475921457968e+01
8.247488376884730599e+01 1.084868367405433673e+02 9.760993350585326311e+01
8.393464382451537631e+01 8.590452799882461932e+01 1.004275274624619101e+02
9.026349766394284302e+01 8.939488236604493920e+01 9.284940433595089360e+01
9.181803857892431608e+01 9.927935022121972963e+01 1.248610780984613058e+02
1.086985936500434207e+02 9.833871643310163790e+01 1.196589886682528316e+02
1.010809929220589822e+02 1.105208945417148954e+02 1.055859078166018037e+02
1.096540268975468280e+02 1.100978130934962280e+02 1.086892987755412463e+02
9.487494428432054860e+01 1.026606615350050191e+02 1.164895783365163879e+02
9.585936522936866311e+01 1.073867892286882864e+02 1.193133424279094612e+02
9.923302053638647635e+01 1.056571519644836741e+02 8.428337926723227724e+01
1.077447084466471239e+02 9.985079863093893948e+01 1.207377268385714331e+02
1.072480046735440311e+02 1.060311389363687340e+02 1.181809295204235042e+02
1.073319225402491668e+02 1.029010314837319129e+02 1.005595878428237029e+02
1.014093860146644062e+02 1.098289003967136637e+02 1.017905749061503542e+02
1.058114769109684516e+02 1.074944806566155364e+02 1.029850491944246471e+02
1.003609412072294020e+02 9.562357227119221648e+01 1.049674195856607639e+02
1.111669141569457793e+02 1.110851395589560013e+02 1.044055787562387110e+02
1.140367066655762187e+02 1.006319933259132853e+02 9.982775626558179738e+01
1.084609762176804963e+02 9.638799999506815652e+01 1.005627505287150143e+02
1.086260682862300229e+02 1.096234971674922036e+02 9.240807460787911509e+01
1.062378142941058456e+02 1.090648626068469014e+02 9.356543238088170256e+01
1.053249280222529762e+02 9.814193030515485816e+01 1.219254621157950993e+02
1.066553567160215721e+02 9.862237078066186768e+01 1.242650422412261264e+02
9.195690417949572293e+01 1.079852846346279165e+02 1.008316933123254699e+02
1.042083541618042659e+02 1.078040852650993031e+02 1.017738811764085085e+02
1.052814488515985261e+02 1.072136681791645572e+02 1.049165589000066348e+02
1.082778342837420382e+02 9.321531696327073746e+01 8.549791416489529183e+01
8.986281475739966140e+01 1.100039119474835445e+02 8.755905554286658798e+01
9.369894320553629541e+01 1.200402538481793044e+02 9.140988145587193969e+01
1.170385041406648128e+02 1.044420259979946479e+02 9.611066883121895899e+01
1.011865398054637666e+02 1.046298059170411108e+02 9.194018921782335951e+01
1.173092670496797325e+02 1.267259271918242121e+02 1.023405460664196198e+02
1.128320004674986450e+02 1.144243879499198755e+02 9.317515271880692751e+01
1.043425598310262501e+02 9.114983258705598246e+01 1.045825765645264340e+02
9.884890583011657839e+01 8.501562139332335732e+01 1.016028812505395535e+02
9.952816965238805835e+01 1.112292919365531816e+02 9.631991798821263728e+01
1.161464901011204631e+02 1.075334044536002551e+02 1.078634298644482925e+02
